,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
129,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.9147286821705426,0.19444444444444445,0.0
130,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.4496124031007752,0.19444444444444445,0.0
131,0.0,1.0,1.0,1.0,0.0,0.75,0.20930232558139536,0.8611111111111112,0.0
134,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.3023255813953488,0.8611111111111112,0.0
136,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.9147286821705426,0.19444444444444445,0.0
138,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
139,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.2868217054263566,0.19444444444444445,0.0
141,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5038759689922481,0.19444444444444445,0.0
143,0.0,1.0,1.0,0.0,0.3333333333333333,0.08333333333333333,0.24031007751937986,0.3055555555555556,0.0
145,0.0,1.0,0.0,0.25,0.0,0.75,0.17054263565891473,0.6388888888888888,0.0
146,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.9147286821705426,0.19444444444444445,0.0
148,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.17054263565891473,0.5,0.0
149,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.8611111111111112,0.0
150,0.0,1.0,0.0,0.25,0.0,0.75,0.5736434108527132,0.5,0.0
152,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.5348837209302325,0.8611111111111112,0.0
153,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.6944444444444444,0.0
155,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.8217054263565892,0.19444444444444445,0.0
160,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.5813953488372093,0.5833333333333334,0.0
163,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
164,0.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.9147286821705426,0.6111111111111112,0.0
165,0.0,1.0,1.0,0.25,0.6666666666666666,0.08333333333333333,0.17054263565891473,0.6111111111111112,0.0
166,0.0,0.0,0.0,0.25,0.8333333333333334,0.4166666666666667,0.1937984496124031,0.8611111111111112,0.0
167,0.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.8611111111111112,0.0
168,0.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.5736434108527132,0.027777777777777776,0.0
169,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
171,0.0,1.0,0.0,0.25,0.0,0.8333333333333334,0.5736434108527132,0.5,0.0
173,0.0,1.0,1.0,0.25,0.8333333333333334,0.16666666666666666,0.24806201550387597,0.6388888888888888,1.0
175,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
177,0.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.5,0.0
178,0.0,1.0,1.0,0.25,0.16666666666666666,0.08333333333333333,0.5736434108527132,0.9166666666666666,0.0
179,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.4722222222222222,0.0
183,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.3875968992248062,0.4444444444444444,0.0
186,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5038759689922481,0.027777777777777776,0.0
187,0.0,1.0,1.0,0.75,0.3333333333333333,0.5833333333333334,0.6046511627906976,0.6388888888888888,0.0
190,0.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.8611111111111112,0.0
192,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.3875968992248062,0.5,0.0
195,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.5,0.0
197,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.5,0.0
198,0.0,1.0,1.0,0.25,0.3333333333333333,0.08333333333333333,0.3023255813953488,0.1388888888888889,0.0
201,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.5,0.0
203,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.5,0.0
205,0.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.18604651162790697,0.19444444444444445,0.0
206,0.0,1.0,0.0,0.25,1.0,0.75,0.20155038759689922,0.19444444444444445,0.0
207,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
209,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3875968992248062,0.19444444444444445,0.0
210,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
211,0.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.9147286821705426,0.5,0.0
212,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
213,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.24031007751937986,0.027777777777777776,0.0
215,0.0,1.0,1.0,0.25,0.8333333333333334,0.3333333333333333,0.6744186046511628,0.6388888888888888,1.0
218,0.0,1.0,0.0,0.25,0.3333333333333333,0.75,0.4418604651162791,0.6944444444444444,0.0
219,0.0,1.0,0.0,0.25,0.16666666666666666,0.4166666666666667,0.9147286821705426,0.8611111111111112,0.0
220,0.0,1.0,0.0,0.25,0.8333333333333334,0.3333333333333333,0.6511627906976745,0.5555555555555556,0.0
224,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.24031007751937986,0.19444444444444445,0.0
225,0.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.3023255813953488,0.3611111111111111,0.0
227,0.0,0.0,0.0,0.25,1.0,0.75,0.5658914728682171,0.05555555555555555,0.0
228,0.0,1.0,1.0,0.25,0.0,0.3333333333333333,0.06201550387596899,0.19444444444444445,0.0
229,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.4418604651162791,0.5,0.0
230,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5038759689922481,0.19444444444444445,0.0
233,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.46511627906976744,0.5,0.0
236,0.0,1.0,0.0,0.0,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.5,0.0
238,0.0,1.0,1.0,0.25,1.0,0.75,0.24031007751937986,0.4444444444444444,0.0
240,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
241,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.3023255813953488,0.3611111111111111,0.0
242,0.0,0.0,1.0,0.25,1.0,0.75,0.046511627906976744,0.8611111111111112,0.0
245,0.0,1.0,1.0,0.25,0.3333333333333333,0.08333333333333333,0.3023255813953488,0.1388888888888889,0.0
247,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.3023255813953488,0.75,0.0
248,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.3023255813953488,0.8611111111111112,0.0
251,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.17054263565891473,0.5,0.0
255,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.3023255813953488,0.3611111111111111,0.0
257,0.0,1.0,0.0,0.25,1.0,0.75,0.46511627906976744,0.027777777777777776,0.0
258,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.4166666666666667,0.0
259,0.0,0.0,1.0,0.25,0.8333333333333334,0.75,0.4418604651162791,0.6666666666666666,0.0
262,0.0,1.0,1.0,0.25,0.8333333333333334,0.75,0.3023255813953488,0.8611111111111112,0.0
267,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
275,0.0,1.0,1.0,0.25,1.0,0.4166666666666667,0.17054263565891473,0.5,0.0
276,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.8611111111111112,0.0
279,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.8611111111111112,0.0
281,0.0,1.0,1.0,0.25,0.16666666666666666,0.08333333333333333,0.17054263565891473,0.7222222222222222,0.0
283,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.8611111111111112,0.0
285,0.0,1.0,0.0,0.25,0.3333333333333333,0.75,0.17054263565891473,0.8611111111111112,0.0
287,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.46511627906976744,0.25,0.0
289,1.0,1.0,1.0,0.5,0.6666666666666666,0.08333333333333333,0.17054263565891473,0.3333333333333333,0.0
291,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.1937984496124031,0.0,0.0
294,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.7286821705426356,0.3333333333333333,0.0
295,0.0,1.0,1.0,0.25,0.3333333333333333,0.08333333333333333,0.6821705426356589,0.08333333333333333,0.0
297,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.17054263565891473,0.5,0.0
298,0.0,1.0,0.0,0.25,1.0,0.75,0.20155038759689922,0.8611111111111112,0.0
299,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
301,0.0,1.0,0.0,0.25,0.3333333333333333,0.75,0.17054263565891473,0.5,0.0
302,0.0,1.0,0.0,0.25,1.0,0.75,0.3875968992248062,0.5,0.0
303,0.0,0.0,0.0,0.25,1.0,0.08333333333333333,0.9457364341085271,0.3333333333333333,0.0
304,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5038759689922481,0.6388888888888888,0.0
306,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
311,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
314,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.9147286821705426,0.4722222222222222,0.0
315,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.4418604651162791,0.7222222222222222,0.0
317,0.0,1.0,1.0,0.25,0.3333333333333333,0.08333333333333333,0.46511627906976744,0.16666666666666666,0.0
318,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.6821705426356589,0.05555555555555555,0.0
322,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.5736434108527132,0.8055555555555556,0.0
323,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.3023255813953488,0.5,0.0
324,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.5736434108527132,0.9166666666666666,0.0
327,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.3333333333333333,0.0
329,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.46511627906976744,0.6111111111111112,0.0
333,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.46511627906976744,0.19444444444444445,0.0
336,0.0,1.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.4418604651162791,0.8611111111111112,0.0
337,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5038759689922481,0.027777777777777776,0.0
338,0.0,1.0,1.0,0.0,0.3333333333333333,0.08333333333333333,0.24031007751937986,0.3055555555555556,0.0
342,0.0,1.0,0.0,0.25,0.16666666666666666,0.08333333333333333,0.29457364341085274,0.19444444444444445,0.0
343,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.9147286821705426,0.8055555555555556,0.0
345,0.0,1.0,0.0,0.25,1.0,0.75,0.751937984496124,0.3055555555555556,0.0
352,0.0,0.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.34108527131782945,0.6111111111111112,0.0
354,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.5,0.0
356,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
358,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
361,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.5736434108527132,0.3333333333333333,0.0
362,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.4496124031007752,0.16666666666666666,0.0
363,0.0,1.0,1.0,0.25,0.16666666666666666,0.08333333333333333,0.37209302325581395,0.6111111111111112,0.0
366,1.0,1.0,1.0,0.25,0.16666666666666666,0.0,0.4418604651162791,0.8611111111111112,0.0
368,0.0,0.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.17054263565891473,0.3333333333333333,0.0
369,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.26356589147286824,0.7222222222222222,0.0
371,0.0,1.0,1.0,0.25,0.16666666666666666,0.08333333333333333,0.46511627906976744,0.6111111111111112,0.0
372,0.0,1.0,1.0,0.25,0.6666666666666666,0.4166666666666667,0.3023255813953488,0.16666666666666666,0.0
374,0.0,0.0,0.0,0.25,0.8333333333333334,0.3333333333333333,0.17829457364341086,0.4166666666666667,0.0
375,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
376,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.3023255813953488,0.5,0.0
377,0.0,1.0,1.0,0.25,0.3333333333333333,0.08333333333333333,0.5736434108527132,0.25,0.0
378,0.0,0.0,1.0,0.25,0.0,0.08333333333333333,0.6124031007751938,0.5,0.0
380,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.5,0.0
385,0.0,0.0,1.0,0.25,0.8333333333333334,0.75,0.4418604651162791,0.5,0.0
387,0.0,1.0,1.0,0.25,0.8333333333333334,0.75,0.4418604651162791,0.8055555555555556,0.0
389,0.0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.2222222222222222,0.0
390,0.0,1.0,1.0,0.25,0.8333333333333334,0.4166666666666667,0.5503875968992248,0.9166666666666666,0.0
391,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.2868217054263566,0.19444444444444445,0.0
393,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.17054263565891473,0.027777777777777776,0.0
394,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.1111111111111111,0.0
399,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.40310077519379844,0.3333333333333333,0.0
401,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.23255813953488372,0.6111111111111112,0.0
403,0.0,1.0,1.0,0.25,0.0,0.75,0.031007751937984496,0.8611111111111112,0.0
405,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.5,0.0
406,0.0,1.0,0.0,0.5,0.6666666666666666,0.08333333333333333,0.5891472868217055,0.5,0.0
408,0.0,1.0,0.0,0.25,0.0,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
409,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.8062015503875969,0.8611111111111112,0.0
410,0.0,1.0,1.0,0.25,0.0,0.08333333333333333,0.4418604651162791,0.5,0.0
414,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3875968992248062,0.19444444444444445,0.0
415,0.0,1.0,1.0,0.0,0.3333333333333333,0.08333333333333333,0.24031007751937986,0.3055555555555556,0.0
416,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.5,0.0
417,0.0,1.0,1.0,0.0,0.8333333333333334,0.08333333333333333,0.06201550387596899,0.3611111111111111,0.0
418,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5968992248062015,0.19444444444444445,0.0
420,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.9147286821705426,0.027777777777777776,0.0
426,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.5,0.0
427,0.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.37209302325581395,0.027777777777777776,0.0
429,0.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.8217054263565892,0.0,0.0
430,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.0,0.0
438,0.0,1.0,0.0,0.25,1.0,0.75,0.046511627906976744,0.19444444444444445,0.0
439,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.46511627906976744,0.8611111111111112,0.0
441,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.4496124031007752,0.19444444444444445,0.0
445,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
446,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8217054263565892,1.0,0.0
447,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
450,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.5,0.0
451,0.0,1.0,0.0,0.25,0.8333333333333334,0.75,0.17054263565891473,0.5,0.0
453,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.6744186046511628,0.3333333333333333,0.0
454,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
455,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
456,0.0,1.0,0.0,0.25,0.0,0.08333333333333333,0.8992248062015504,0.19444444444444445,0.0
461,0.0,0.0,1.0,0.25,0.0,0.08333333333333333,0.46511627906976744,0.25,0.0
466,0.0,1.0,0.0,0.75,0.3333333333333333,0.3333333333333333,0.4496124031007752,0.19444444444444445,0.0
468,0.0,0.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.17054263565891473,0.3333333333333333,0.0
470,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
472,0.0,0.0,0.0,0.75,0.0,0.0,0.2713178294573643,0.8611111111111112,0.0
477,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.20155038759689922,0.19444444444444445,0.0
478,0.0,1.0,0.0,0.25,0.3333333333333333,0.75,0.20155038759689922,0.8611111111111112,0.0
479,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.027777777777777776,0.0
480,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.17054263565891473,0.25,0.0
482,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.23255813953488372,0.6111111111111112,0.0
485,0.0,1.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.4418604651162791,0.3333333333333333,0.0
486,0.0,1.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.37209302325581395,0.6666666666666666,0.0
487,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.4496124031007752,0.027777777777777776,0.0
490,0.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,0.3023255813953488,0.19444444444444445,0.0
491,0.0,1.0,1.0,0.25,0.8333333333333334,0.16666666666666666,0.4418604651162791,0.08333333333333333,0.0
492,0.0,1.0,1.0,0.25,0.8333333333333334,0.08333333333333333,0.9147286821705426,0.8611111111111112,0.0
493,0.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.17054263565891473,0.027777777777777776,1.0
495,0.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.4496124031007752,0.027777777777777776,0.0
